,srcs,dsts,ttls
0,0.0.0.0,0.0.0.0,0
1,0.0.0.0,0.0.0.0,0
2,54.69.215.10,54.69.215.10,128
3,192.168.62.150,192.168.62.150,64
4,192.168.62.150,192.168.62.150,64
5,54.69.215.10,54.69.215.10,128
6,0.0.0.0,0.0.0.0,0
7,0.0.0.0,0.0.0.0,0
8,192.168.62.150,192.168.62.150,64
9,192.168.62.150,192.168.62.150,64
10,192.168.62.2,192.168.62.2,128
11,192.168.62.2,192.168.62.2,128
12,192.168.62.150,192.168.62.150,64
13,35.222.85.5,35.222.85.5,128
14,192.168.62.150,192.168.62.150,64
15,192.168.62.150,192.168.62.150,64
16,35.222.85.5,35.222.85.5,128
17,35.222.85.5,35.222.85.5,128
18,192.168.62.150,192.168.62.150,64
19,35.222.85.5,35.222.85.5,128
20,192.168.62.150,192.168.62.150,64
21,35.222.85.5,35.222.85.5,128
22,192.168.62.150,192.168.62.150,64
23,91.189.89.199,91.189.89.199,128
24,192.168.62.1,192.168.62.1,1
25,192.168.62.1,192.168.62.1,1
26,192.168.62.1,192.168.62.1,1
27,0.0.0.0,0.0.0.0,0
28,0.0.0.0,0.0.0.0,0
29,192.168.62.1,192.168.62.1,1
30,192.168.62.1,192.168.62.1,1
31,192.168.62.1,192.168.62.1,1
32,192.168.62.1,192.168.62.1,1
33,0.0.0.0,0.0.0.0,0
34,192.168.62.1,192.168.62.1,1
35,0.0.0.0,0.0.0.0,0
36,192.168.62.1,192.168.62.1,1
37,0.0.0.0,0.0.0.0,0
38,192.168.62.1,192.168.62.1,1
39,0.0.0.0,0.0.0.0,0
40,192.168.62.1,192.168.62.1,1
41,0.0.0.0,0.0.0.0,0
42,192.168.62.1,192.168.62.1,1
43,0.0.0.0,0.0.0.0,0
44,0.0.0.0,0.0.0.0,0
45,192.168.62.1,192.168.62.1,1
46,0.0.0.0,0.0.0.0,0
47,192.168.62.1,192.168.62.1,1
48,0.0.0.0,0.0.0.0,0
49,192.168.62.1,192.168.62.1,1
50,0.0.0.0,0.0.0.0,0
51,0.0.0.0,0.0.0.0,0
52,192.168.62.1,192.168.62.1,1
53,0.0.0.0,0.0.0.0,0
54,192.168.62.1,192.168.62.1,1
55,0.0.0.0,0.0.0.0,0
56,192.168.62.1,192.168.62.1,1
57,192.168.62.1,192.168.62.1,1
58,0.0.0.0,0.0.0.0,0
59,192.168.62.1,192.168.62.1,1
60,192.168.62.1,192.168.62.1,1
61,0.0.0.0,0.0.0.0,0
62,192.168.62.1,192.168.62.1,1
63,0.0.0.0,0.0.0.0,0
64,192.168.62.1,192.168.62.1,1
65,0.0.0.0,0.0.0.0,0
66,192.168.62.1,192.168.62.1,1
67,0.0.0.0,0.0.0.0,0
68,192.168.62.1,192.168.62.1,1
69,0.0.0.0,0.0.0.0,0
70,192.168.62.1,192.168.62.1,1
71,0.0.0.0,0.0.0.0,0
72,0.0.0.0,0.0.0.0,0
73,192.168.62.1,192.168.62.1,1
74,0.0.0.0,0.0.0.0,0
75,192.168.62.1,192.168.62.1,1
76,0.0.0.0,0.0.0.0,0
77,0.0.0.0,0.0.0.0,0
78,192.168.62.1,192.168.62.1,1
79,0.0.0.0,0.0.0.0,0
80,192.168.62.1,192.168.62.1,1
81,0.0.0.0,0.0.0.0,0
82,192.168.62.1,192.168.62.1,1
83,0.0.0.0,0.0.0.0,0
84,192.168.62.1,192.168.62.1,1
85,192.168.62.1,192.168.62.1,1
86,192.168.62.1,192.168.62.1,1
87,192.168.62.1,192.168.62.1,128
88,192.168.62.1,192.168.62.1,1
89,192.168.62.1,192.168.62.1,1
90,192.168.62.1,192.168.62.1,1
91,0.0.0.0,0.0.0.0,0
92,0.0.0.0,0.0.0.0,0
93,54.69.215.10,54.69.215.10,128
94,192.168.62.150,192.168.62.150,64
95,54.69.215.10,54.69.215.10,128
96,192.168.62.1,192.168.62.1,1
97,192.168.62.1,192.168.62.1,1
98,192.168.62.1,192.168.62.1,1
99,192.168.62.1,192.168.62.1,1
